"","sid","gender_3cats","black","white","college","income_below_35k","walk_safety_own","imagepath","image1","imageName","weights","gender","var","value","varLabel","img"
"69",4584,1,1,0,0,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/929178687927460_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/929178687927460_1.jpg","929178687927460_1.jpg",1.50455950737295,"Male","nb_image_walksafety_day_d20",7,"Safety - Daytime Walking","929178687927460_1"
"70",4584,1,1,0,0,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/929178687927460_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/929178687927460_1.jpg","929178687927460_1.jpg",1.50455950737295,"Male","nb_image_walksafety_night_d20",5,"Safety - Nighttime Walking","929178687927460_1"
"71",4586,1,0,1,1,0,3,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/525276995158085_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/525276995158085_2.jpg","525276995158085_2.jpg",1.47722968125384,"Male","nb_image_wealth_rate_d20",1,"Neighborhood Wealth","525276995158085_2"
"72",4586,1,0,1,1,0,3,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/525276995158085_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/525276995158085_2.jpg","525276995158085_2.jpg",1.47722968125384,"Male","nb_image_hhinc_text_d20",36000,"Average Income","525276995158085_2"
"73",4586,1,0,1,1,0,3,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/525276995158085_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/525276995158085_2.jpg","525276995158085_2.jpg",1.47722968125384,"Male","nb_image_tidiness_d20",6,"Disorder","525276995158085_2"
"74",4586,1,0,1,1,0,3,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/525276995158085_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/525276995158085_2.jpg","525276995158085_2.jpg",1.47722968125384,"Male","nb_image_walksafety_day_d20",7,"Safety - Daytime Walking","525276995158085_2"
"75",4586,1,0,1,1,0,3,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/525276995158085_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/525276995158085_2.jpg","525276995158085_2.jpg",1.47722968125384,"Male","nb_image_walksafety_night_d20",1,"Safety - Nighttime Walking","525276995158085_2"
"76",4588,2,1,0,0,1,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/2068504223306949_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/2068504223306949_2.jpg","2068504223306949_2.jpg",0.554109283541294,"Female","nb_image_wealth_rate_d20",6,"Neighborhood Wealth","2068504223306949_2"
"77",4588,2,1,0,0,1,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/2068504223306949_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/2068504223306949_2.jpg","2068504223306949_2.jpg",0.554109283541294,"Female","nb_image_hhinc_text_d20",30000,"Average Income","2068504223306949_2"
"78",4588,2,1,0,0,1,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/2068504223306949_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/2068504223306949_2.jpg","2068504223306949_2.jpg",0.554109283541294,"Female","nb_image_tidiness_d20",2,"Disorder","2068504223306949_2"
"79",4588,2,1,0,0,1,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/2068504223306949_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/2068504223306949_2.jpg","2068504223306949_2.jpg",0.554109283541294,"Female","nb_image_walksafety_day_d20",3,"Safety - Daytime Walking","2068504223306949_2"
"80",4588,2,1,0,0,1,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/2068504223306949_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/2068504223306949_2.jpg","2068504223306949_2.jpg",0.554109283541294,"Female","nb_image_walksafety_night_d20",3,"Safety - Nighttime Walking","2068504223306949_2"
"81",4591,1,1,0,0,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/650181592745832_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/650181592745832_1.jpg","650181592745832_1.jpg",3.66990612165291,"Male","nb_image_wealth_rate_d20",3,"Neighborhood Wealth","650181592745832_1"
"82",4591,1,1,0,0,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/650181592745832_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/650181592745832_1.jpg","650181592745832_1.jpg",3.66990612165291,"Male","nb_image_hhinc_text_d20",45000,"Average Income","650181592745832_1"
"83",4591,1,1,0,0,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/650181592745832_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/650181592745832_1.jpg","650181592745832_1.jpg",3.66990612165291,"Male","nb_image_tidiness_d20",4,"Disorder","650181592745832_1"
"84",4591,1,1,0,0,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/650181592745832_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/650181592745832_1.jpg","650181592745832_1.jpg",3.66990612165291,"Male","nb_image_walksafety_day_d20",5,"Safety - Daytime Walking","650181592745832_1"
"85",4591,1,1,0,0,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/650181592745832_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/650181592745832_1.jpg","650181592745832_1.jpg",3.66990612165291,"Male","nb_image_walksafety_night_d20",2,"Safety - Nighttime Walking","650181592745832_1"
