bias,rmse,ece,alpha,delta,method
-0.013537389100909819,0.15796003128884797,0.043189132791425416,0.5,0.72,Majority
-0.013537389100909819,0.15796003128884797,0.043189132791425416,0.5,0.72,Weighted
-0.013537389100909819,0.15796003128884797,0.043189132791425416,0.5,0.72,PLDL-Weighted
0.04576893197486694,0.16448499036988087,0.04537201624922011,0.5,0.72,Majority
0.04576893197486694,0.16448499036988087,0.04537201624922011,0.5,0.72,Weighted
0.04576893197486694,0.16448499036988087,0.04537201624922011,0.5,0.72,PLDL-Weighted
-0.01568809834601657,0.14363090768496897,0.03564689313618759,0.5,0.72,Majority
-0.01568809834601657,0.14363090768496897,0.03564689313618759,0.5,0.72,Weighted
-0.01568809834601657,0.14363090768496897,0.03564689313618759,0.5,0.72,PLDL-Weighted
-0.04749737575701471,0.15734204408885433,0.05966265084031594,0.5,0.72,Majority
-0.04749737575701471,0.15734204408885433,0.05966265084031594,0.5,0.72,Weighted
-0.04749737575701471,0.15734204408885433,0.05966265084031594,0.5,0.72,PLDL-Weighted
0.02466356818523733,0.1534611680675672,0.041287067215489595,0.5,0.72,Majority
0.02466356818523733,0.1534611680675672,0.041287067215489595,0.5,0.72,Weighted
0.02466356818523733,0.1534611680675672,0.041287067215489595,0.5,0.72,PLDL-Weighted
0.0780054249801423,0.17956553305224587,0.06038991638713925,0.5,0.72,Majority
0.0780054249801423,0.17956553305224587,0.06038991638713925,0.5,0.72,Weighted
0.0780054249801423,0.17956553305224587,0.06038991638713925,0.5,0.72,PLDL-Weighted
0.023386312564717394,0.1525059522005951,0.03806258606158078,0.5,0.72,Majority
0.023386312564717394,0.1525059522005951,0.03806258606158078,0.5,0.72,Weighted
0.023386312564717394,0.1525059522005951,0.03806258606158078,0.5,0.72,PLDL-Weighted
0.015890900027697708,0.14847050169267945,0.03283951367649162,0.5,0.72,Majority
0.015890900027697708,0.14847050169267945,0.03283951367649162,0.5,0.72,Weighted
0.015890900027697708,0.14847050169267945,0.03283951367649162,0.5,0.72,PLDL-Weighted
0.007237553551517159,0.1511768254248672,0.0363864220161104,0.5,0.72,Majority
0.007237553551517159,0.1511768254248672,0.0363864220161104,0.5,0.72,Weighted
0.007237553551517159,0.1511768254248672,0.0363864220161104,0.5,0.72,PLDL-Weighted
-0.08118723169447681,0.17823709511966584,0.09107999302972025,0.5,0.72,Majority
-0.08118723169447681,0.17823709511966584,0.09107999302972025,0.5,0.72,Weighted
-0.08118723169447681,0.17823709511966584,0.09107999302972025,0.5,0.72,PLDL-Weighted
-0.01956607458063089,0.1558858361449543,0.04278313133403563,0.5,0.72,Majority
-0.01956607458063089,0.1558858361449543,0.04278313133403563,0.5,0.72,Weighted
-0.01956607458063089,0.1558858361449543,0.04278313133403563,0.5,0.72,PLDL-Weighted
0.05350539291260172,0.17103134458636737,0.04942660297574923,0.5,0.72,Majority
0.05350539291260172,0.17103134458636737,0.04942660297574923,0.5,0.72,Weighted
0.05350539291260172,0.17103134458636737,0.04942660297574923,0.5,0.72,PLDL-Weighted
0.02472336903108192,0.15939287292115242,0.0373152430624815,0.6,0.72,Majority
0.006973369031081933,0.1586668998098553,0.035193391653772325,0.6,0.72,Weighted
0.0069733690310819175,0.15758861411262293,0.031323413293738236,0.6,0.72,PLDL-Weighted
0.014064351010546207,0.15050528992521392,0.033510760438640055,0.6,0.72,Majority
-0.004202315656120458,0.15324760921725197,0.03672684459838819,0.6,0.72,Weighted
-0.004202315656120461,0.15070071171138183,0.03300234487278293,0.6,0.72,PLDL-Weighted
-0.022517589286058258,0.15464628823435503,0.048067834107523716,0.6,0.72,Majority
-0.036702204670673644,0.1632837354528118,0.05975050829153204,0.6,0.72,Weighted
-0.036702204670673665,0.15929791921247716,0.05665244949213911,0.6,0.72,PLDL-Weighted
0.020673577556289558,0.15331290053018612,0.03618309787018278,0.6,0.72,Majority
0.004356910889622899,0.15312742571962054,0.0318895460824742,0.6,0.72,Weighted
0.004356910889622904,0.15138301263683335,0.02743773440591719,0.6,0.72,PLDL-Weighted
0.017096483850374163,0.15201518211363874,0.03264284528307442,0.6,0.72,Majority
0.001163150517040845,0.1536960926783694,0.03812405895456895,0.6,0.72,Weighted
0.0011631505170408398,0.15126787478405335,0.03104287365217137,0.6,0.72,PLDL-Weighted
0.01671293867605825,0.15599533165562074,0.03741286755611681,0.6,0.72,Majority
-0.00010372799060841853,0.15996842292973154,0.04215808189785882,0.6,0.72,Weighted
-0.00010372799060841742,0.1549801527615453,0.03192124887345543,0.6,0.72,PLDL-Weighted
-0.053554163147418475,0.16622297907790842,0.06885366478465188,0.6,0.72,Majority
-0.06288273457598993,0.17276797751299316,0.07706024736682641,0.6,0.72,Weighted
-0.06288273457598992,0.1711499190839824,0.07639195777894756,0.6,0.72,PLDL-Weighted
-0.02119496574157685,0.15662102780686904,0.04269367120394558,0.6,0.72,Majority
-0.03636419651080762,0.16372764459058006,0.056047374750330954,0.6,0.72,Weighted
-0.036364196510807634,0.16092778642648667,0.05163407170438974,0.6,0.72,PLDL-Weighted
0.01744200089203693,0.15053830839142085,0.035989132984370724,0.6,0.72,Majority
2.533422537028085e-05,0.151378586805292,0.03709471799137087,0.6,0.72,Weighted
2.533422537027774e-05,0.14939806421096488,0.030803203592684292,0.6,0.72,PLDL-Weighted
0.02008480798663248,0.14592893834907086,0.027969391795484355,0.6,0.72,Majority
0.003951474653299163,0.14810104442674793,0.031262202131479705,0.6,0.72,Weighted
0.003951474653299158,0.14486058949050734,0.025694558175136262,0.6,0.72,PLDL-Weighted
-0.01633653857570267,0.15872855276668837,0.03669753039519417,0.6,0.72,Majority
